timestamp,symbol,d1_bias,h4_bias,bias_strength,d1_bos_bar_index,d1_bos_level,h4_sl,h1_tp,killzone_utc,in_killzone,sweep,sweep_side,sweep_level,sweep_bar_index,mss,mss_level,mss_bar_index,mss_direction,impulse_origin,fvg_upper,fvg_lower,fvg_ce,fvg_bar_index,fvg_direction,fvg_tf,fvg_case,retrace,ltf,fvg_missed,state
2026-06-12 15:46:00,UNIUSDT,SHORT,SHORT,WEAK,,,2.56,2.477,12,False,False,,,,False,,,SHORT,,,,,,bearish,,,False,False,False,IDLE
2026-06-12 15:46:01,ADAUSDT,SHORT,SHORT,WEAK,,,0.1733,0.1681,12,False,False,,,,False,,,SHORT,,,,,,bearish,,,False,False,False,IDLE
2026-06-12 15:46:01,ETHUSDT,SHORT,SHORT,,,,1642.0,1604.9,12,False,False,,,,False,,,,,,,,,,,,False,False,False,EXPIRED
2026-06-12 16:00:00,LDOUSDT,SHORT,SHORT,,,,0.2727,0.2627,12,False,False,,,,False,,,,,,,,,,,,False,False,False,EXPIRED
2026-06-12 16:00:00,ARBUSDT,SHORT,SHORT,,,,0.0838,0.0792,12,False,False,,0.0822,,False,0.082,,SHORT,,0.0814,0.0812,0.0813,,bearish,,,False,False,False,EXPIRED
2026-06-12 16:00:00,NEARUSDT,SHORT,SHORT,WEAK,,,2.076,2.021,12,False,False,,,,False,,,SHORT,,,,,,bearish,,,False,False,False,IDLE
2026-06-12 16:00:00,SOLUSDT,SHORT,SHORT,,,,65.99,63.63,12,False,False,,,,False,,,,,,,,,,,,False,False,False,EXPIRED
2026-06-12 16:00:00,APTUSDT,SHORT,SHORT,WEAK,,,0.6648,0.6326,12,False,False,,,,False,,,SHORT,,,,,,bearish,,,False,False,False,IDLE
2026-06-12 16:00:00,FETUSDT,SHORT,SHORT,,,,0.2033,0.2027,12,False,False,,,,False,,,,,,,,,,,,False,False,False,EXPIRED
2026-06-12 16:00:00,INJUSDT,,,,,,,,12,False,False,,,,False,,,,,,,,,,,,False,False,False,IDLE
2026-06-12 16:00:00,OPUSDT,LONG,LONG,STRONG,,,0.0911,0.0974,12,False,False,,,,False,,,LONG,,,,,,bullish,,,False,False,False,IDLE
2026-06-12 16:00:00,XRPUSDT,SHORT,SHORT,,,,1.2054,1.1193,12,False,False,,,,False,,,,,,,,,,,,False,False,False,EXPIRED
2026-06-12 16:00:01,LINKUSDT,SHORT,SHORT,WEAK,,,7.975,7.753,12,False,False,,,,False,,,SHORT,,,,,,bearish,,,False,False,False,IDLE
